participant,age,handedness,gender,Gender,Emotion,key_resp.rt,key_resp.corr
P01,23,Right,Male,Female,Neutral,0.997216899995692,1.0
P01,23,Right,Male,Female,Happy,1.5877890000119803,0.0
P01,23,Right,Male,Female,Happy,1.1107379000168294,1.0
P01,23,Right,Male,Male,Angry,0.747143300017342,1.0
P01,23,Right,Male,Female,Happy,0.4687013999791816,1.0
P01,23,Right,Male,Male,Angry,0.5710930998902768,1.0
P01,23,Right,Male,Male,Neutral,1.2004490999970585,1.0
P01,23,Right,Male,Female,Angry,2.123857800033875,0.0
P01,23,Right,Male,Female,Angry,0.7579436000669375,1.0
P01,23,Right,Male,Female,Angry,0.900298000080511,0.0
P01,23,Right,Male,Male,Angry,0.8309806999750435,1.0
P01,23,Right,Male,Male,Happy,0.7446282000746578,1.0
P01,23,Right,Male,Male,Happy,0.7335956000024453,1.0
P01,23,Right,Male,Female,Neutral,0.6670061000622809,1.0
P01,23,Right,Male,Female,Neutral,0.5943373999325559,1.0
P01,23,Right,Male,Male,Neutral,0.754505000077188,1.0
P01,23,Right,Male,Male,Angry,1.1821362000191584,1.0
P01,23,Right,Male,Female,Angry,0.7471920000389218,1.0
P01,23,Right,Male,Male,Neutral,0.5947950999252498,1.0
P01,23,Right,Male,Male,Neutral,5.977954600006342,1.0
P01,23,Right,Male,Male,Angry,0.7888084000442177,1.0
P01,23,Right,Male,Female,Happy,0.730261699995026,1.0
P01,23,Right,Male,Female,Angry,0.9053293999750168,1.0
P01,23,Right,Male,Male,Angry,0.796258500078693,1.0
P01,23,Right,Male,Female,Happy,0.6860281999688596,1.0
P01,23,Right,Male,Female,Angry,0.6412681000074372,1.0
P01,23,Right,Male,Male,Angry,0.8646120000630617,1.0
P01,23,Right,Male,Male,Neutral,1.2841026999522,1.0
P01,23,Right,Male,Male,Happy,0.647247500019148,1.0
P01,23,Right,Male,Male,Neutral,0.9338783000130206,1.0
P01,23,Right,Male,Female,Angry,0.6059909000759944,1.0
P01,23,Right,Male,Female,Happy,0.7554386999690905,1.0
P01,23,Right,Male,Male,Neutral,0.7543846999760717,1.0
P01,23,Right,Male,Female,Neutral,0.8478072000434622,1.0
P01,23,Right,Male,Female,Angry,1.091685099992901,0.0
