participant,Gender,Emotion,accuracy,mean_rt,participant_gender,age,handedness
P01,Female,Angry,0.8421052631578947,0.7498668187545263,Male,23,Right
P01,Female,Happy,0.95,0.7646237315769356,Male,23,Right
P01,Female,Neutral,0.8947368421052632,0.7841267823584049,Male,23,Right
P01,Male,Angry,0.9,0.778183738882136,Male,23,Right
P01,Male,Happy,1.0,0.8377100350044202,Male,23,Right
P01,Male,Neutral,1.0,0.769593021054262,Male,23,Right
P02,Female,Angry,0.9,1.0287364333247144,Female,22,Right
P02,Female,Happy,0.9473684210526315,0.9326584388683032,Female,22,Right
P02,Female,Neutral,0.95,1.2683467894400422,Female,22,Right
P02,Male,Angry,1.0,0.9077437842068704,Female,22,Right
P02,Male,Happy,0.9473684210526315,0.6687574944226071,Female,22,Right
P02,Male,Neutral,0.9473684210526315,0.9218804499703563,Female,22,Right
P03,Female,Angry,0.8947368421052632,1.0349245352999252,Female,22,Left
P03,Female,Happy,0.95,0.8885123736874544,Female,22,Left
P03,Female,Neutral,0.9,0.8114612111013331,Female,22,Left
P03,Male,Angry,1.0,0.9016106799914269,Female,22,Left
P03,Male,Happy,0.95,0.9318729263185034,Female,22,Left
P03,Male,Neutral,0.9473684210526315,0.854190755541721,Female,22,Left
P05,Female,Angry,0.8421052631578947,0.8117774250058574,Female,22,Right
P05,Female,Happy,1.0,0.773482721047721,Female,22,Right
P05,Female,Neutral,0.9473684210526315,0.7245655166657848,Female,22,Right
P05,Male,Angry,1.0,0.6476942789557046,Female,22,Right
P05,Male,Happy,0.9473684210526315,0.7120133222197182,Female,22,Right
P05,Male,Neutral,0.8947368421052632,0.7643587705816197,Female,22,Right
P06,Female,Angry,0.7894736842105263,0.7268113933348407,Male,24,Right
P06,Female,Happy,1.0,0.8369092315827545,Male,24,Right
P06,Female,Neutral,1.0,0.945206494744573,Male,24,Right
P06,Male,Angry,1.0,0.7280549949908164,Male,24,Right
P06,Male,Happy,1.0,0.7056128052614727,Male,24,Right
P06,Male,Neutral,1.0,0.6694937737009145,Male,24,Right
P07,Female,Angry,0.8421052631578947,0.8569680125146988,Male,24,Right
P07,Female,Happy,1.0,0.8351406210567802,Male,24,Right
P07,Female,Neutral,1.0,0.81250761579232,Male,24,Right
P07,Male,Angry,0.85,0.8247506588505691,Male,24,Right
P07,Male,Happy,0.9473684210526315,0.7870598777727638,Male,24,Right
P07,Male,Neutral,0.7894736842105263,0.7794954466633499,Male,24,Right
P08,Female,Angry,0.875,1.018856935718629,Female,22,Right
P08,Female,Happy,1.0,0.8383277764489108,Female,22,Right
P08,Female,Neutral,1.0,0.8228801374789327,Female,22,Right
P08,Male,Angry,1.0,1.095079650038055,Female,22,Right
P08,Male,Happy,0.85,0.9977657588280957,Female,22,Right
P08,Male,Neutral,0.8333333333333334,1.0021929933689535,Female,22,Right
P09,Female,Angry,0.75,1.3029571666537474,Male,23,Left
P09,Female,Happy,0.9,0.988523066671203,Male,23,Left
P09,Female,Neutral,0.9473684210526315,0.8255389166620767,Male,23,Left
P09,Male,Angry,1.0,0.7159228684123311,Male,23,Left
P09,Male,Happy,0.9473684210526315,0.8286223944289506,Male,23,Left
P09,Male,Neutral,0.85,0.8367295999915394,Male,23,Left
P10,Female,Angry,0.8571428571428571,1.830905333335977,Female,43,Right
P10,Female,Happy,0.9333333333333333,1.8196087071472513,Female,43,Right
P10,Female,Neutral,0.8666666666666667,1.9678183076992775,Female,43,Right
P10,Male,Angry,1.0,1.3266436999923934,Female,43,Right
P10,Male,Happy,1.0,1.0362955588053036,Female,43,Right
P10,Male,Neutral,1.0,1.448637183315845,Female,43,Right
P11,Female,Angry,0.8947368421052632,0.5477540325784289,Female,23,Right
P11,Female,Happy,1.0,0.5808413866049561,Female,23,Right
P11,Female,Neutral,0.9444444444444444,0.6304979737820652,Female,23,Right
P11,Male,Angry,0.8333333333333334,0.5257161450882752,Female,23,Right
P11,Male,Happy,0.7894736842105263,0.6105524950971206,Female,23,Right
P11,Male,Neutral,0.7368421052631579,0.578997423290275,Female,23,Right
